Squad,Comp,# Pl,Age,"Poss
▼"
Manchester City,eng Premier League,25,26.6,65.2
Paris S-G,fr Ligue 1,29,24.7,65.2
Barcelona,es La Liga,29,26,64.3
Leverkusen,de Bundesliga,24,26.2,61.8
Tottenham,eng Premier League,29,25.2,61.6
Bayern Munich,de Bundesliga,30,27.4,61.3
Liverpool,eng Premier League,30,26.3,61.3
Napoli,it Serie A,29,27.2,60.9
Stuttgart,de Bundesliga,27,25,59.9
Brighton,eng Premier League,30,25.9,59.8
Las Palmas,es La Liga,29,25.5,59.2
Real Madrid,es La Liga,27,27.4,59.2
Chelsea,eng Premier League,32,24.2,58.6
Arsenal,eng Premier League,25,25,58.2
Bologna,it Serie A,28,25.2,58.1
Dortmund,de Bundesliga,32,26.8,57.8
Fiorentina,it Serie A,30,27,57.3
Inter,it Serie A,27,29.1,57.1
Girona,es La Liga,25,26.1,56.9
Milan,it Serie A,35,26.6,56.9
Lille,fr Ligue 1,28,25.1,56.6
RB Leipzig,de Bundesliga,26,25.6,55.3
Real Sociedad,es La Liga,31,25.8,55.3
Roma,it Serie A,30,27.7,54.9
Marseille,fr Ligue 1,33,27.3,53.7
Brest,fr Ligue 1,25,27,53.6
Monaco,fr Ligue 1,30,25,53.6
Monza,it Serie A,31,26.8,53.5
Lazio,it Serie A,22,28.2,53.3
Aston Villa,eng Premier League,31,26.9,53.1
Lens,fr Ligue 1,27,26.7,52.9
Nice,fr Ligue 1,27,25.8,52.4
Newcastle Utd,eng Premier League,32,27.2,52.2
Eint Frankfurt,de Bundesliga,34,25.3,52.1
Rennes,fr Ligue 1,29,25.2,52.1
Lyon,fr Ligue 1,35,26.6,51.8
Torino,it Serie A,30,26.4,51.6
Atalanta,it Serie A,29,26.3,51.1
Atlético Madrid,es La Liga,27,29.2,50.8
Fulham,eng Premier League,25,28.4,50.6
Manchester Utd,eng Premier League,31,26.1,50.6
Betis,es La Liga,35,27.8,50.4
Reims,fr Ligue 1,29,25.9,50.4
Sevilla,es La Liga,35,28.6,50.3
Athletic Club,es La Liga,27,27.3,49.8
Frosinone,it Serie A,34,24.3,49.7
Villarreal,es La Liga,32,27.9,49.6
Hoffenheim,de Bundesliga,30,27.7,49.5
Rayo Vallecano,es La Liga,26,29.4,49.4
Clermont Foot,fr Ligue 1,31,26.8,48.9
Wolves,eng Premier League,27,26.6,48.9
Juventus,it Serie A,31,26.5,48.5
Toulouse,fr Ligue 1,26,23.8,48.4
Wolfsburg,de Bundesliga,28,25.6,48
Osasuna,es La Liga,29,27.7,47.5
Burnley,eng Premier League,31,24.5,47.4
Gladbach,de Bundesliga,27,25.4,46.8
Werder Bremen,de Bundesliga,30,27,46.8
Bochum,de Bundesliga,25,29.1,46.6
Freiburg,de Bundesliga,25,27,46.6
Köln,de Bundesliga,26,25.4,46.5
Almería,es La Liga,35,25.6,46.4
Lorient,fr Ligue 1,38,24.7,46.3
Celta Vigo,es La Liga,31,26.7,46.1
Mainz 05,de Bundesliga,30,26.7,46.1
Darmstadt 98,de Bundesliga,32,27.1,45.7
Granada,es La Liga,40,26.7,45.6
Brentford,eng Premier League,28,26.6,45.2
Mallorca,es La Liga,25,28.7,45
Lecce,it Serie A,26,24.9,44.9
Getafe,es La Liga,33,27.3,44.8
Nantes,fr Ligue 1,35,26.8,44.8
Le Havre,fr Ligue 1,27,26.2,44.7
Montpellier,fr Ligue 1,31,26.1,44.6
Salernitana,it Serie A,39,27.3,44.5
Bournemouth,eng Premier League,30,25.7,44.4
Hellas Verona,it Serie A,36,25.7,44.4
Strasbourg,fr Ligue 1,30,24.1,44.3
Valencia,es La Liga,29,23.8,44.3
Genoa,it Serie A,34,26.7,44.1
Empoli,it Serie A,34,26,44
Augsburg,de Bundesliga,29,26,43.9
Sassuolo,it Serie A,30,26.4,43.8
Cádiz,es La Liga,34,28.5,43.3
Union Berlin,de Bundesliga,30,28.1,42.9
Heidenheim,de Bundesliga,22,26.7,42.5
Luton Town,eng Premier League,28,26.7,42.4
Crystal Palace,eng Premier League,26,26.7,42.3
Cagliari,it Serie A,29,26.1,42.1
Alavés,es La Liga,30,25.6,41.8
West Ham,eng Premier League,26,28.3,41.1
Everton,eng Premier League,26,27.1,40.8
Nott'ham Forest,eng Premier League,33,25.7,40.6
Udinese,it Serie A,32,25.7,39.3
Sheffield Utd,eng Premier League,35,25.7,35.8
Metz,fr Ligue 1,30,26.5,35.6
